timestamp,rms,peak,band_1x,band_2x,band_3x,band_5x,band_7x,temperature,train_state,label
2025-12-28T20:26:30.853541+00:00,0.2,0.282,3.054,4.111,0.009,0.006,1.4029850746268655,29.65,idle,good
2025-12-28T20:26:31.820491+00:00,0.175,0.247,2.962,3.504,0.009,0.006,1.403409090909091,29.65,idle,good
2025-12-28T20:26:32.746385+00:00,0.175,0.247,2.962,3.504,0.009,0.006,1.403409090909091,29.62,idle,good
2025-12-28T20:26:33.720903+00:00,0.175,0.247,2.962,3.504,0.009,0.006,1.403409090909091,29.62,idle,good
2025-12-28T20:26:34.694903+00:00,0.703,0.994,3.598,5.13,0.069,0.009,1.4119318181818183,29.62,moving,good
2025-12-28T20:26:35.672686+00:00,0.703,0.994,3.598,5.13,0.069,0.009,1.4119318181818183,29.65,moving,good
2025-12-28T20:26:36.659758+00:00,0.703,0.994,3.598,5.13,0.069,0.009,1.4119318181818183,29.65,moving,good
2025-12-28T20:26:37.634194+00:00,0.494,0.699,3.308,5.081,0.023,0.007,1.412121212121212,29.68,moving,good
2025-12-28T20:26:38.608804+00:00,0.494,0.699,3.308,5.081,0.023,0.007,1.412121212121212,29.68,moving,good
2025-12-28T20:26:39.567311+00:00,0.494,0.699,3.308,5.081,0.023,0.007,1.412121212121212,29.68,moving,good
2025-12-28T20:26:40.542231+00:00,1.508,2.133,3.431,4.724,0.408,0.045,1.4135188866799206,29.65,moving,good
2025-12-28T20:26:41.516003+00:00,1.508,2.133,3.431,4.724,0.408,0.045,1.4135188866799206,29.65,moving,good
2025-12-28T20:26:42.490113+00:00,1.508,2.133,3.431,4.724,0.408,0.045,1.4135188866799206,29.68,moving,good
2025-12-28T20:26:43.449019+00:00,0.66,0.933,3.87,5.858,0.036,0.011,1.411497730711044,29.68,moving,good
2025-12-28T20:26:44.487033+00:00,0.66,0.933,3.87,5.858,0.036,0.011,1.411497730711044,29.68,moving,good
2025-12-28T20:26:45.509561+00:00,0.66,0.933,3.87,5.858,0.036,0.011,1.411497730711044,29.68,moving,good
2025-12-28T20:26:46.484513+00:00,0.313,0.443,3.103,4.166,0.01,0.007,1.410828025477707,29.68,moving,good
2025-12-28T20:26:47.459177+00:00,0.313,0.443,3.103,4.166,0.01,0.007,1.410828025477707,29.65,moving,good
2025-12-28T20:26:48.416741+00:00,0.313,0.443,3.103,4.166,0.01,0.007,1.410828025477707,29.65,moving,good
2025-12-28T20:26:49.392090+00:00,0.686,0.97,3.866,4.761,0.116,0.016,1.4119359534206695,29.65,moving,good
2025-12-28T20:26:50.365900+00:00,0.686,0.97,3.866,4.761,0.116,0.016,1.4119359534206695,29.68,moving,good
2025-12-28T20:26:51.308148+00:00,0.686,0.97,3.866,4.761,0.116,0.016,1.4119359534206695,29.68,moving,good
2025-12-28T20:26:52.282339+00:00,1.299,1.838,17.998,9.711,0.051,0.023,1.4138461538461542,29.65,moving,good
2025-12-28T20:26:53.256920+00:00,1.299,1.838,17.998,9.711,0.051,0.023,1.4138461538461542,29.65,moving,good
2025-12-28T20:26:54.215513+00:00,1.299,1.838,17.998,9.711,0.051,0.023,1.4138461538461542,29.71,moving,good
2025-12-28T20:26:55.189961+00:00,1.297,1.835,14.756,11.147,0.313,0.05,1.4137134052388292,29.71,moving,good
2025-12-28T20:26:56.132574+00:00,1.297,1.835,14.756,11.147,0.313,0.05,1.4137134052388292,29.71,moving,good
2025-12-28T20:26:57.090964+00:00,1.297,1.835,14.756,11.147,0.313,0.05,1.4137134052388292,29.68,moving,good
2025-12-28T20:26:58.065349+00:00,0.664,0.939,6.609,6.272,0.066,0.015,1.4120300751879697,29.68,moving,good
2025-12-28T20:26:59.039698+00:00,0.664,0.939,6.609,6.272,0.066,0.015,1.4120300751879697,29.68,moving,good
2025-12-28T20:26:59.966202+00:00,0.664,0.939,6.609,6.272,0.066,0.015,1.4120300751879697,29.68,moving,good
2025-12-28T20:27:00.940352+00:00,1.619,2.289,4.34,4.615,0.264,0.039,1.4129629629629632,29.68,moving,good
2025-12-28T20:27:01.898699+00:00,1.619,2.289,4.34,4.615,0.264,0.039,1.4129629629629632,29.68,moving,good
2025-12-28T20:27:02.858173+00:00,1.619,2.289,4.34,4.615,0.264,0.039,1.4129629629629632,29.68,moving,good
2025-12-28T20:27:03.831622+00:00,1.722,2.435,4.615,7.09,0.221,0.026,1.413232733604179,29.73,moving,good
